1, en, What is the year of Russian empire foundation?, 1720, 1721, 1722, 1723, 1
2, en, What is the year of Java programming language first release?, 1993, 1994, 1995, 1996, 2
3, en, 11 * 11 = ?, 111, 221, 141, 121, 3
4, en, Factorial of 7?, 4040, 6020, 5540, 5040, 3
5, en, Java is power! C# is ?, coffin, grave, cemetery, death, 1
6, ru, Год основания Российской империи?, 1720, 1721, 1722, 1723, 1
7, ru, Год релиза языка программирования JAVA?, 1993, 1994, 1995, 1996, 2
8, ru, Решите пример 11 * 11 = ?, 111, 221, 141, 121, 3
9, ru, Значение факториала от  7?, 4040, 6020, 5540, 5040, 3
10, ru, Java - сила! C#  ?, гроб, могила, кладбище, смерть, 1
